company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
BABA		http://madeinjlm.org/map/1px.png	Marcus street	Hansen Compund			Accelerator/Hub			Hanan Glabendorf	Bezalel Alumni Business Accelerator, based in Hansen Compound 			31.768073	35.217061				Accelerator									<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">BABA</a>	הקובץ של MAdeinJLM	BABA																																										
Balink 	http://balink.net/	http://d3dzqwnc8fz43w.cloudfront.net/wp-content/uploads/2012/10/balink300.jpg	Agoudat Sport Hapoel 1 B				Software	contact@balink.net	+972(0)77 450 60 72	Don't know yet	Balink delivers Force.com based products and solutions that help businesses unlock the value of their cloud investment strategy.								Service Provider / Outsource									<img src="http://d3dzqwnc8fz43w.cloudfront.net/wp-content/uploads/2012/10/balink300.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://balink.net/">Balink </a>	הקובץ של MAdeinJLM	Balink 																																										
BioCancell therapeutics ltd.	http://www.biocancell.com/	http://www.biocancell.com/images/stories/logo.png	8 Hartom St				Medical				BioCancell is dedicated to developing cancer treatments suitable for over 40 types of cancer, including pancreatic cancer and bladder cancer. BioCancell's patented, personalized cancer therapy approach is based on the identification of target oncogenes, such as H19.			31.802861	35.208912		X											<img src="http://www.biocancell.com/images/stories/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.biocancell.com/">BioCancell therapeutics ltd.</a>	הקובץ של MAdeinJLM	BioCancell therapeutics ltd.																																										
Bioline Innovations Jerusalem (BiolineRx)	http://www.biolinerx.com/	http://www.biolinerx.com/images/BIOLINERX.png	19 Hartum Street,	HH			Investor		972-2-5489100		BioLineRx is a clinical-stage, publicly-traded (NASDAQ/ TASE: BLRX) biopharmaceutical development company based in Jerusalem, Israel. The Company develops products suitable for the pharmaceutical market satisfying an unmet medical need or exhibiting advantages over current therapies. 			31.804589	35.210942		X											<img src="http://www.biolinerx.com/images/BIOLINERX.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.biolinerx.com/">Bioline Innovations Jerusalem (BiolineRx)</a>	הקובץ של MAdeinJLM	Bioline Innovations Jerusalem																																										
BioLineRx Ltd.							Medical																					<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">BioLineRx Ltd.</a>	הקובץ של הרל"י		19 Hartum Street,			http://www.biolinerx.com/images/BIOLINERX.png																																						
Biometrix	http://www.biometrix.co.il/	http://events.eventact.com/tgmk/tgmk/MedisIsrael/biometrix.jpg	Har Hotzvim	HH			Medical				Biometrix develops, manufactures and markets innovative, high-quality medical devices for intensive care, surgery and interventional cardiology.			31.802873	35.208912		X											<img src="http://events.eventact.com/tgmk/tgmk/MedisIsrael/biometrix.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.biometrix.co.il/">Biometrix</a>	הקובץ של MAdeinJLM	Biometrix																																										
Bizrael	http://www.bizrael.org	http://i.imgur.com/4ldsm8U.jpg	10 Mevo Ha'Asara French Hill Jerusalem				Service Provider / Outsource	maxx@bizrael.org		Maxx Blank	Bizrael is a non-profit organization running engaging Israel trips for students and young professionals focused on Israeli  business, innovation, and the start-up ecosystem. 								Other									<img src="http://i.imgur.com/4ldsm8U.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.bizrael.org">Bizrael</a>	הקובץ של MAdeinJLM	Bizrael																																										
BriefCam	http://briefcam.com/	http://briefcam.com/wp-content/themes/briefcam2010/images/logo_sm.gif	Modiin	Modiin	Mid	40	Software		2-533-7228		BriefCam for rapid video review lets you browse hours in minutes. The result: more efficient investigation and significant savings on cost, manpower and your valuable timeb			31.808108	35.081099		V											<img src="http://briefcam.com/wp-content/themes/briefcam2010/images/logo_sm.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://briefcam.com/">BriefCam</a>	הקובץ של MAdeinJLM	BriefCam																																										
BrightSource Energy	http://www.brightsourceenergy.com/	http://www.brightsourceenergy.com/site/images/hd-logo.jpg	Kiryat Mada 11	HH	Big	200	Energy				BrightSource Energy, Inc. designs, develops, and deploys solar thermal technology to produce high-value electricity and steam for power, petroleum, and industrial-process markets worldwide.			31.802637	35.20914		V											<img src="http://www.brightsourceenergy.com/site/images/hd-logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.brightsourceenergy.com/">BrightSource Energy</a>	הקובץ של MAdeinJLM	BrightSource Energy																																										
Bynet	http://www.bynet-yesum.co.il		המרפא 8	HH			Software		02-5879798	צביקה כהן	תשתיות תקשורת למשרדים ממשלתיים, האונ' העברית, NDS וכו'			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.bynet-yesum.co.il">Bynet</a>	הקובץ של הרל"י	Bynet yesum maarachot	לא	אחר	02-5813868	תקשורת	לא	לא	כן	לא	כן	אחר	לא	צביקה כהן		לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן										
CDI Systems	http://www.cdisys.com/	http://www.cdisys.com/	19 Hartum St.	HH		above 20	Software	itzhak@cdisys.com	02-5870112	Itzhak Levit	CDI Systems focuses on the development of a unique and innovative online publishing platform - NetIS™. The company has successfully deployed scores of solutions for the Internet, Intranet, Mobile Internet, DVD/CD-ROMs, tablets and eReader devices. Deployments range from global giants such as Dun & Bradstreet from Japan to the United States, government contracts, the European Directorate for the Quality of Medicines & Healthcare (EDQM), to publishing houses. Please visit www.cdisys.com to learn more. 		https://www.facebook.com/pages/CDI-Systems/144901298876977	31.804388	35.210967				Startup			1992	Yes	No			No	<img src="http://www.cdisys.com/" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.cdisys.com/">CDI Systems</a>	הקובץ של MAdeinJLM	CDI Systems																																										
Celem	http://www.celem.com	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU2_hPT3AtRvuPWwssc4IDpDDgYlXo1FozvZxrbbFlTk_8ARwr	12/2 Hi Tech Park, Givat Ram P.O. Box 39109 Jerusalem 91390, ISRAEL	Givat Ram		2			02-6788305	בנימין ג'קובוביץ'	Celem is the world’s leading developer and producer of high power capacitors for induction heating applications. Our extensive catalog of high power induction heating capacitors, capacitance values and assembly system solutions ensures that we can quickly provide our customers with any configuration of voltage, current and capacitance that they need.			31.767683	35.196793	Nope												<img src="https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU2_hPT3AtRvuPWwssc4IDpDDgYlXo1FozvZxrbbFlTk_8ARwr" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.celem.com">Celem</a>	הקובץ של הרל"י	Celem	לא	אחר	02-6536094	היי-טק	לא	לא	כן	לא	כן	אחר	לא	בנימין ג'קובוביץ'		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		8	2							
Chutzpah Media	http://www.chutzpahmedia.co.il	https://pbs.twimg.com/profile_images/2629774226/09bf3ade36b0fd78919fb6530f09adb6.png	Rehov HaMagid 6b/7 German Colony	German Colony		1	Service Provider / Outsource	elahn@chutzpahmedia.co.il	+972 50 261 3341	Elahn Zetlin	Video production for business marketing, promotion, fund raising, tourism and events. A one stop shop for businesses, organizations and individuals to build brand awareness, promote a product, charity or cause as well as get assistance with marketing of video content online via social media and other channels.	https://twitter.com/ChutzpahMedia	www.facebook.com/chutzpahmedia	31.765793	35.220194	Nope			Other									<img src="https://pbs.twimg.com/profile_images/2629774226/09bf3ade36b0fd78919fb6530f09adb6.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.chutzpahmedia.co.il">Chutzpah Media</a>	הקובץ של MAdeinJLM	Chutzpah Media																																										
Cisco	http://www.nds.com/	http://gdpinsider.com/wp-content/uploads/2013/11/Capture1-620x350.png	Har Hotzvim	HH	Corporate	1000	Software				NDS is a leading global provider of end-to-end software solutions for the pay television industry. We enable pay-TV operators to differentiate their service by delivering a unique viewing experience to their subscribers—anytime, anywhere on any device—while ensuring that only paying viewers can view content.			31.802835	35.209653		V											<img src="http://gdpinsider.com/wp-content/uploads/2013/11/Capture1-620x350.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.nds.com/">Cisco</a>	הקובץ של MAdeinJLM	Cisco																																										
ClearView Monitoring	http://www.clearviewmonitoring.com/	http://madeinjlm.org/map/1px.png	Hartum 19, Har Hotzvim	HH	Mid	10	Software		02-5400920	שלמה שור	specializes in Cleantech Enterprise Software solutions for condition monitoring (CM), early fault detection and classification (FDC), performance enhancement and on-line analysis and diagnostics.			31.802885	35.209693		?											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.clearviewmonitoring.com/">ClearView Monitoring</a>	הקובץ של MAdeinJLM	ClearView Monitoring																																										
Coolnet	http://www.coolnet.ps/	http://www.pita.ps/sites/default/files/styles/directory_logo/public/coolnet_logo.jpeg?itok=izB424lm	Rashid St.2	East			software			Hani Alami	Coolnet has the know how to design, develop and deploy tailor wireless communications systems and solutions.	https://twitter.com/Coolnet_ps	https://www.facebook.com/pages/CoolNet/35052327478	31.7836111	35.2338975																																																										
Correlor	http://www.correlor.com	http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0023/4924/234924v2-max-250x250.png	Hevron Road 24	JVP	Young	7	Internet	Larry Rubin			Correlor unleashes the treasure of social data to deliver a completely new breed of web personalization and user engagement, helping businesses to craft powerful relationships with consumers and drive revenues.			31.766933	35.225269		V											<img src="http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0023/4924/234924v2-max-250x250.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.correlor.com">Correlor</a>	הקובץ של MAdeinJLM	Correlor																																										
CrossReader	http://www.crossreader.com/	http://crossreader.com/wp-content/uploads/2013/02/CrossLogo-300x80.png	Hevron Road 24	JVP	Young	7	Internet	Navot Volk			CrossReader is a content discovery service that enhances information consumption on tablets. CrossReader identifies additional content relevant to the page currently being viewed and seamlessly presents it in an unobtrusive manner.			31.767071	35.225258		V											<img src="http://crossreader.com/wp-content/uploads/2013/02/CrossLogo-300x80.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.crossreader.com/">CrossReader</a>	הקובץ של MAdeinJLM	CrossReader																																										
Curiyo	http://curiyo.com	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmTldjbX2xCNPBJUbK6P0L0xyPM-fzBAcqadooFQHKbzd9v3lj	43B Emek Refaim	Emek Refaim	Young	7	Internet	bob@curiyo.com	+972-2-579-2573	Bob Rosenschein	Founded by Bob Rosenschein, founder and former CEO of Answers.com, a top-20 U.S. website, Curiyo's vision is to simplify and streamline online content discovery. The product delivers relevant information to the user in context so the user does not have to open up new tabs to search or switch between apps. The company's publisher platform keeps websites users on the site longer by providing useful information with leaving the page.	https://twitter.com/BeCuriyo	https://www.facebook.com/becuriyo	31.7625206	35.2182321	Nope			Startup			2	Yes	Yes				<img src="https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmTldjbX2xCNPBJUbK6P0L0xyPM-fzBAcqadooFQHKbzd9v3lj" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://curiyo.com">Curiyo</a>	הקובץ של MAdeinJLM	Curiyo																																										
Dagzahav animation	http://www.dagzahav-animation.co.il/	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSDEhqU_9rRDYm_YgssHKY_xZaOoTNGS3B-5lI6JvJbDk0zvpZf	Gordon 9/6a, Kiryat Hayovel	Kiryat Yovel		4	Service Provider / Outsource	maya@dagzahav-animation.co.il	972-54-7939917	Maya Weksler	I'm an expert in animated explainer videos for stratups. in the studio we produced over 30 video for different startups & tech companies, such as - nice, incentives solutions, expobee, visa & more. The main advantage a stratup gets from working with us is a well crafted video that explain what he does in clear, engaging & fun way. 		https://www.facebook.com/pages/%D7%93%D7%92%D7%96%D7%94%D7%91-%D7%90%D7%A0%D7%99%D7%9E%D7%A6%D7%99%D7%94-%D7%A1%D7%A8%D7%98%D7%99%D7%9D-%D7%9C%D7%A2%D7%A1%D7%A7%D7%99%D7%9D-%D7%95%D7%90%D7%A8%D7%92%D7%95%D7%A0%D7%99%D7%9D/112827375466648?sk=wall	31.767325	35.177588	Nope			Service Provider / Outsource									<img src="https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSDEhqU_9rRDYm_YgssHKY_xZaOoTNGS3B-5lI6JvJbDk0zvpZf" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.dagzahav-animation.co.il/">Dagzahav animation</a>	הקובץ של MAdeinJLM	Dagzahav animation																																										
Data Technologies	http://www.data-technologies.com/	http://t2.gstatic.com/images?q=tbn:ANd9GcQ3gLqcZSUsojidexivtWBlwpEV_K1nW1PGtawmjqTRkosr2bw0					Hardware				DATA Technologies develops, manufactures & distributes equipment for counting & packaging small objects such as seeds, diamonds, capsules and tablets. 			31.805446	35.212297		X											<img src="http://t2.gstatic.com/images?q=tbn:ANd9GcQ3gLqcZSUsojidexivtWBlwpEV_K1nW1PGtawmjqTRkosr2bw0" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.data-technologies.com/">Data Technologies</a>	הקובץ של MAdeinJLM	Data Technologies																																										
Data Tide	http://data-tide.com	http://data-tide.com/images/logo.png	Azza 7, Jerusalem	Center	Young	2	Software	amos.weiskopf@gmail.com		Amos Weiskopf	We champion strategic planning in the digital arena. From mix modelling to information architecture, we craft marketing roadmaps that win - and execute them.   We carry out business intelligence operations, covering anything from competitive market analysis to consumer journey mapping and forecasting.	972544847299		31.772268	35.213459	Nope			Service Provider / Outsource		No	2013																																																			
DBS-H	http://www.dbs-h.com/	http://madeinjlm.org/map/1px.png	8 HaTaasia str. Talpiyot	South	Young	5	Software			Michael Elkin	DBS-H Ltd is an innovative data integration provider that develops solutions for continuous data integration in private, hybrid or public cloud environments.			31.750941	35.212501		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.dbs-h.com/">DBS-H</a>	הקובץ של MAdeinJLM	DBS-H																																										
Delta Three	http://www.deltathree.com		גן טכנולוגי מלחה, בניין 9, ת.ד. 48265	Malcha			software		02-6491222	מרב כרמלי-גוזמן	שירותי Voice Over IP			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.deltathree.com">Delta Three</a>	הקובץ של הרל"י	Delta three	כן	אחר	02-6491200	היי-טק	לא	לא	כן	לא	כן	מוסד אקדמי	לא		512336660	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן										
Digital Footsteps	http://digital-footsteps.com/	http://digital-footsteps.com/wp-content/themes/digitalfootsteps/images/logo.png			Young	5	Internet				Multimedia applications, powered by Digital Footsteps’  proprietary technologies,  deliver fee-free, GPS-driven, on and off-line comprehensive tour app solutions.						V											<img src="http://digital-footsteps.com/wp-content/themes/digitalfootsteps/images/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://digital-footsteps.com/">Digital Footsteps</a>	הקובץ של MAdeinJLM	Digital Footsteps																																										
Digital-Clay	www.digital-clay.com	http://digital-clay.com/support/wiki/lib/exe/fetch.php/logo.jpg	1 avizohar				Software	talir@digital-clay.com	972544436804	Tali Rejwan	Digital-Clay is a user friendly application engine that anyone can use to build software products for desktop web and mobile devices with the use of visual tools and no coding.			31.775927	35.188855	Yes, we are hiring!			Startup				No	Yes			Yes	<img src="http://digital-clay.com/support/wiki/lib/exe/fetch.php/logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.digital-clay.com">Digital-Clay</a>	הקובץ של MAdeinJLM	Digital-Clay																																										
Easy Check Medical	http://www.israelbizreg.com/easy-check-medical-diagnostic-technologies-ltd	http://madeinjlm.org/map/1px.png	The Technological Garden	Malcha			Medical							31.750285	35.187464		X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.israelbizreg.com/easy-check-medical-diagnostic-technologies-ltd">Easy Check Medical</a>	הקובץ של MAdeinJLM	Easy Check Medical																																										
Elad Group		http://madeinjlm.org/map/1px.png			Big,Service		Service Provider / Outsource										X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Elad Group</a>	הקובץ של MAdeinJLM	Elad Group																																										
Eliora Games	bullsandbearsonline.com	http://madeinjlm.org/map/1px.png	Kortz St. Arnona	Talpiot			Internet	kerin@bullsandbearsonline.com		Kerin Jacobs	Eliora Games develops unique educational tools that teach basic economic principles by mimicking how the real economy and financial markets work.  Our first game is built on the Facebook platform, and is going to be available for the general public in just a few months!					Yes, we are hiring!			Startup									<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="bullsandbearsonline.com">Eliora Games</a>	הקובץ של MAdeinJLM	Eliora Games																																										
eMobile R&D Ecosystems	http://www.poketalk.com		גן-טכנולוגי מלחה, בניין 1	גט"י מלחה		11	software		054-7581704	חיים מסיקה	החברה מפתחת תקשורת סלולארית לחול			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.poketalk.com">eMobile R&D Ecosystems</a>	הקובץ של הרל"י	eMobile	כן	אחר		היי-טק		לא	כן	כן	כן	הרחבת עסק בירושלים	לא	חיים מסיקה	514720879	לא	לא	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Yosef Apter	כן	לא	כן		8	3							
Energy Global	http://www.energiyaglobal.com		יד חרוצים 4	תלפיות			Energy		054-484-4391	ג'וליאן סינקלייר	פיתוח פרוייקטים של אנרגיה סולרית במדינות מתפתחות. חברת אחות לחברה המקורית שפותחה בקטורה					Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.energiyaglobal.com">Energy Global</a>	הקובץ של הרל"י	EnergiyaGlobal	כן	אחר		היי-טק	לא	לא	כן	לא	כן	הרחבת עסק בירושלים	לא			לא	לא	לא	כן	כן		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן										
